device,ip,eoj
AIRCON,192.168.2.100,013001
BRAIND,192.168.50.16,026001
AIRPURI,192.168.50.15,0F4201
LIGHT,192.168.2.101,029001
KEY,N/A,N/A
SOLAR,192.168.50.11,"N/A"
S_METER,192.168.50.9,N/A
