device,ip,eoj
AIRCON,192.168.50.14,013002
BRAIND,192.168.50.16,026001
AIRPURI,192.168.50.15,013501
LIGHT1,192.168.50.13,029001
LIGHT2,192.168.50.13,029001
LIGHT3,192.168.50.13,029003
LIGHT4,192.168.50.13,029004
SOLAR,192.168.50.11,00000
S_METER,192.168.50.9,00000
